ACT Symbol,Security Name,Exchange
BFS$C,"Saul Centers, Inc. Depositary Shares, each representing 1/100th of a share of 6.875% Series C Cumulative Redeemable Preferred Stock, $0.01 par value",N
BFZ,BlackRock California Municipal Income Trust,N
BG,Bunge Limited Bunge Limited,N
BGB,Blackstone / GSO Strategic Credit Fund Common Shares,N
BGC,General Cable Corporation Common Stock,N
BGCA,"BGC Partners, Inc. 8.125% Senior Notes due 2042",N
BGG,Briggs & Stratton Corporation Common Stock,N
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,N
BGIO,BlackRock 2022 Global Income Opportunity Trust Common Shares of Beneficial Interest,N
BGR,BlackRock Energy and Resources Trust,N
BGS,"B&G Foods, Inc. B&G Foods, Inc. Common Stock",N
BGT,BlackRock Floating Rate Income Trust,N
BGX,Blackstone GSO Long Short Credit Income Fund Common Shares,N
BGY,Blackrock Enhanced International Dividend Trust,N
BH,Biglari Holdings Inc.,N
BHE,"Benchmark Electronics, Inc. Common Stock",N
BHGE,"Baker Hughes, a GE company Class A Common Stock",N
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust,N
BHLB,"Berkshire Hills Bancorp, Inc. Common Stock",N
BHP,BHP Billiton Limited Common Stock,N
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares,N
BID,Sotheby's Common Stock,N
BIF,"Boulder Growth & Income Fund, Inc.",N
BIG,"Big Lots, Inc. Common Stock",N
BIO,"Bio-Rad Laboratories, Inc. Class A Common Stock",N
BIO.B,"Bio-Rad Laboratories, Inc. Class B  Common Stock",N
BIOA,BioAmber Inc. Common Stock,N
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,N
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,N
BITA,Bitauto Holdings Limited American Depositary Shares (each representing one ordinary share),N
BJZ,Blackrock California Municipal 2018 Term Trust Blackrock California Municipal 2018 Term Trust,N
BK,Bank of New York Mellon Corporation (The) Common Stock,N
BK$C,Bank Of New York Mellon Corporation (The) Dep Shs Repstg 1/4000th Perp Pfd Ser C,N
BKD,Brookdale Senior Living Inc. Common Stock,N
BKE,"Buckle, Inc. (The) Common Stock",N
BKFS,"Black Knight Financial Services, Inc. Class A Common Stock",N
BKH,Black Hills Corporation Common Stock,N
BKHU,Black Hills Corporation Corporate Units,N
BKK,Blackrock Municipal 2020 Term Trust,N
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),N
BKS,"Barnes & Noble, Inc. Common Stock",N
BKT,BlackRock Income Trust Inc. (The),N
BKU,"BankUnited, Inc. Common Stock",N
BLD,TopBuild Corp. Common Stock,N
BLH,Blackrock New York Municipal 2018 Term Trust,N
BLK,"BlackRock, Inc. Common Stock",N
BLL,Ball Corporation Common Stock,N
BLW,Blackrock Limited Duration Income Trust,N
BLX,"Banco Latinoamericano de Comercio Exterior, S.A.",N
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),N
BME,Blackrock Health Sciences Trust,N
BMI,"Badger Meter, Inc. Common Stock",N
BML$G,"Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock , Series 1)",N
BML$H,"Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock, Series 2)",N
BML$I,"Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of 6.375% Non-Cumulative Preferred Stock, Series 3)",N
BML$J,"Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock, Series 4)",N
